suburbname,postcode
GALORE,2650.0
LORD HOWE ISLAND,2898.0
HARDEN,2587.0
WANGI WANGI,2267.0
MYUNA BAY,2264.0
EUABALONG WEST,2877.0
BULLABURRA,2784.0
SPRING PLAINS,2388.0
MYLNEFORD,2460.0
THE WHITEMAN,2460.0
MAYFIELD,2580.0
WRATHALL,2642.0
BARRINGTON TOPS,2422.0
HARPERS HILL,2321.0
BUCKENBOWRA,2536.0
PALING YARDS,2795.0
MARYLAND,4377.0
RUSHCUTTERS BAY,2011.0
DARLINGHURST,2010.0
EAGLETON,2324.0
KAPOOKA,2661.0
YATTALUNGA,2251.0
TAHLEE,2324.0
BALD RIDGE,2795.0
GLENGARRIE,2486.0
TOMEWIN,2484.0
GRATTAI,2850.0
LALOR PARK,2147.0
CURRAWEELA,2580.0
YALBRAITH,2580.0
ENGLORIE PARK,2560.0
MANGROVE CREEK,2250.0
BOGONG PEAKS WILDERNESS,2720.0
TALBINGO,2720.0
KINGSTOWN,2358.0
TORRYBURN,2358.0
MOGENDOURA,2537.0
ADELONG,2729.0
SANDY GULLY,2729.0
POINT CLARE,2250.0
KOOKABOOKRA,2370.0
JINGERA,2622.0
GALA VALE,2716.0
ARCADIA VALE,2283.0
TURRAWAN,2390.0
BAAN BAA,2390.0
BROKEN HILL,2880.0
YARRAGUNDRY,2650.0
FERNANCES CROSSING,2325.0
KINGS HILL,2324.0
CARWELL,2849.0
ALPINE,2575.0
BUSBYS FLAT,2469.0
EURONGILLY,2663.0
CLONTARF,2093.0
CADIA,2800.0
BOONA MOUNT,2877.0
PEMULWUY,2145.0
CEDAR PARTY,2429.0
YARRATT FOREST,2429.0
WINDELLAMA,2580.0
WINGHAM,2429.0
MARCH,2800.0
LEN WATERS ESTATE,2171.0
WAPENGO,2550.0
MURRINGO,2586.0
PARADISE,2360.0
SWAN VALE,2370.0
KINGS PLAINS,2360.0
SPRING MOUNTAIN,2360.0
NEWSTEAD,2360.0
BERMAGUI,2546.0
CUTTAGEE,2546.0
RODD POINT,2046.0
KANOONA,2550.0
MOORARA,2648.0
WARRAZAMBIL CREEK,2474.0
ENNGONIA,2840.0
NULLAMANNA,2360.0
BURRAWANG,2577.0
SKILLION FLAT,2440.0
GREENHILL,2440.0
TURNERS FLAT,2440.0
TIGHES HILL,2297.0
UPPER DUCK CREEK,2469.0
CAPEEN CREEK,2469.0
PINE GROVE,2829.0
LANKEYS CREEK,2644.0
YARARA,2644.0
HAWKESBURY HEIGHTS,2777.0
THUDDUNGRA,2594.0
BIELSDOWN HILLS,2453.0
DORRIGO MOUNTAIN,2453.0
SOUTH GUNDAGAI,2722.0
MINJARY,2720.0
NEWCASTLE EAST,2300.0
STOCKTON,2295.0
CARGO,2800.0
BIG SPRINGS,2650.0
BOOK BOOK,2650.0
CLEAR RANGE,2620.0
GLENWOOD,2768.0
CARWOOLA,2620.0
VALLA BEACH,2448.0
ACACIA GARDENS,2763.0
MCMAHONS REEF,2587.0
CUNNINGAR,2587.0
PEELWOOD,2583.0
TUENA,2583.0
BOOMI,2405.0
OPHIR,2800.0
DONNELLYVILLE,2447.0
DARLINGTON,2330.0
DUNOLLY,2330.0
NORTH WAHROONGA,2076.0
BERYL,2852.0
GULGONG,2852.0
GUNTAWANG,2852.0
WATTLE FLAT,2795.0
SOFALA,2795.0
HUNTLEY,2800.0
SOUTH BATHURST,2795.0
MOUNT KEMBLA,2526.0
WARRABAH,2346.0
KNIGHTS HILL,2577.0
FROGMORE,2586.0
MEERSCHAUM VALE,2477.0
DOG ROCKS,2795.0
ROCKLEY,2795.0
BATHURST,2795.0
KALANG,2454.0
MOUNT ADRAH,2729.0
GRONG GRONG,2652.0
MARTINDALE,2328.0
BROKE,2330.0
BOHNOCK,2430.0
CABBAGE TREE ISLAND,2430.0
FARNHAM,2820.0
GWABEGAR,2356.0
MOUNTAIN TOP,2480.0
BAKERS CREEK,2447.0
GREENHILLS BEACH,2230.0
CLANDULLA,2848.0
WEST HAVEN,2443.0
WERRIKIMBE,2446.0
TIMBARRA,2372.0
SANDY HILL,2372.0
BOSSLEY PARK,2176.0
BARRACK HEIGHTS,2528.0
BARRACK POINT,2528.0
MACDONALDS CREEK,2339.0
NEBEA,2829.0
KINGS PARK,2148.0
GUMBLE,2865.0
GEARYS FLAT,2441.0
DEVILS HOLE,2550.0
BOBS CREEK,2439.0
MYRTLE MOUNTAIN,2550.0
CABARITA BEACH,2488.0
COOMBA PARK,2428.0
MEBUL,2852.0
SAPPHIRE,2360.0
WINIFRED,2631.0
NIMMITABEL,2631.0
MORUYA HEADS,2537.0
YOUNG,2594.0
BURRANGONG,2594.0
TERREEL,2422.0
KITCHENER,2325.0
STOCKRINGTON,2322.0
CARRINGTON,2294.0
BALALA,2358.0
FERNVALE,2484.0
YARROWYCK,2358.0
TUGRABAKH,2422.0
GANGAT,2422.0
YULLUNDRY,2867.0
SANDY FLAT,2372.0
TIPPERARY,2429.0
RAVENSWORTH,2330.0
WAVERTON,2060.0
HEBERSHAM,2770.0
BLACKETT,2770.0
TWELVE MILE CREEK,2324.0
GREENLANDS,2330.0
HEBDEN,2330.0
SWAN CREEK,2462.0
WATTAMONDARA,2794.0
GOSFORTH,2320.0
GILGOOMA,2829.0
TUROSS,2630.0
HAWKS NEST,2324.0
DAWES POINT,2000.0
MILLERS POINT,2000.0
NORTH EPPING,2121.0
SPRINGFIELD,2630.0
MAROUBRA,2035.0
PAYTENS BRIDGE,2871.0
EUGOWRA,2806.0
KINGS LANGLEY,2147.0
SNOWBALL,2622.0
WIRRABA,2849.0
WOLLEMI,2330.0
GODFREYS CREEK,2586.0
MADDENS PLAINS,2508.0
ROSEBERG,2793.0
BALLDALE,2646.0
GOOMBARGANA,2646.0
BEMBOKA,2550.0
HASSALL GROVE,2761.0
BOLWARRA,2320.0
LEEVILLE,2470.0
HELENSBURGH,2508.0
GRAMAN,2360.0
SEELANDS,2460.0
MOUNTAIN VIEW,2460.0
CROWTHER ISLAND,2460.0
WARRAGAI CREEK,2460.0
KYARRAN,2460.0
CLARENZA,2460.0
LETHBRIDGE PARK,2770.0
COOLATAI,2402.0
BIDWILL,2770.0
MINCHINBURY,2770.0
BLAIRMOUNT,2559.0
TARRIARO,2390.0
MALONEYS BEACH,2536.0
MOUNT DEE,2320.0
GUNGAL,2333.0
GIANTS CREEK,2328.0
GOOLOOGONG,2805.0
MARSHDALE,2420.0
MOOBI,2337.0
COOLUMBOOKA,2632.0
BULLDOG,2469.0
EWINGAR,2469.0
GORGE CREEK,2469.0
SEXTONVILLE,2470.0
GOOLMA,2852.0
OLD BAR,2430.0
DUVAL,2350.0
KINGSLAND,2370.0
BLACKALLS PARK,2283.0
LAKE MUNMORAH,2259.0
EDITH,2787.0
TENNYSON,2754.0
ROUS,2477.0
DALWOOD,2477.0
JUGIONG,2726.0
COONEYS CREEK,2726.0
CALGA,2250.0
LITTLE BACK CREEK,2474.0
FAWCETTS PLAIN,2474.0
HALFWAY CREEK,2460.0
TOMBOYE,2622.0
ORTON PARK,2795.0
TWIN RIVERS,2410.0
BLACK HEAD,2430.0
CAMP CREEK,4385.0
BOOLCARROLL,2388.0
FARRINGDON,2622.0
ELANORA HEIGHTS,2101.0
STUART TOWN,2820.0
TEXAS,4385.0
URUNGA,2455.0
FISHING POINT,2283.0
WHEEO,2583.0
CODRINGTON,2471.0
TATHAM,2471.0
CASSILIS,2329.0
CAMBRA,2420.0
DEAN PARK,2761.0
DOONSIDE,2767.0
MULGRAVE,2756.0
COFFEE CAMP,2480.0
MOUNT LEWIS,2190.0
MUNGO,2715.0
PAN BAN,2648.0
ULONG,2450.0
ARDGLEN,2338.0
BUNDAGEN,2454.0
MAITLAND VALE,2320.0
RED HILL,2824.0
PUTTA BUCCA,2850.0
BILLYWILLINGA,2795.0
BLACK SPRINGS,2787.0
ESSINGTON,2787.0
BINDA,2583.0
CROOKED CORNER,2583.0
DONALD CREEK,2350.0
TILBUSTER,2350.0
THE BIGHT,2429.0
BOOTAWA,2430.0
PULGANBAR,2460.0
HILLSDALE,2036.0
EASTGARDENS,2036.0
BOAMBOLO,2582.0
GLEN ALPINE,2560.0
ABERCROMBIE,2795.0
HENLEY,2111.0
LINLEY POINT,2066.0
WYAN,2469.0
MYRTLE CREEK,2469.0
RAPPVILLE,2469.0
HAROLDS CROSS,2622.0
KINDERVALE,2622.0
BUNDELLA,2343.0
COOMOO COOMOO,2343.0
NIGHTCAP,2480.0
MULLENGUDGERY,2825.0
LUGARNO,2210.0
SUMMERLAND POINT,2259.0
GWANDALAN,2259.0
GRAWIN OPAL FIELDS,2832.0
LONG BEACH,2536.0
SPRING FARM,2570.0
FINE FLOWER,2460.0
CARNHAM,2460.0
EUROBODALLA,2545.0
REPTON,2454.0
MOGRIGUY,2830.0
ALFORDS POINT,2234.0
LLOYD,2650.0
ANEMBO,2621.0
ARTARMON,2064.0
MIRADOR,2548.0
WILLIAMSDALE,2620.0
SNOWY PLAIN,2628.0
BURRUNGUBUGGE,2627.0
CREEL BAY,2627.0
TWO MILE FLAT,2852.0
BREELONG,2827.0
GILGANDRA,2827.0
REGENTS PARK,2143.0
BROWNSVILLE,2530.0
TALLIMBA,2669.0
VOYAGER POINT,2172.0
BULGA,2330.0
TOLBAR,2629.0
WILSONS VALLEY,2624.0
NUNGAR,2629.0
THREDBO,2625.0
PERISHER VALLEY,2624.0
SMIGGIN HOLES,2624.0
GUTHEGA,2624.0
BLUE COW,2624.0
MUNYANG,2624.0
ROTO,2675.0
LARGS,2320.0
BOLWARRA HEIGHTS,2320.0
MENAI,2234.0
MIDDLE COVE,2068.0
WILLOUGHBY EAST,2068.0
HURLSTONE PARK,2193.0
PLEASURE POINT,2172.0
SANDY POINT,2172.0
RAWORTH,2321.0
KEINBAH,2320.0
BISHOPS BRIDGE,2326.0
PINE CAMP,2648.0
ASHBURY,2193.0
BANKSMEADOW,2019.0
PAGEWOOD,2035.0
CUMNOCK,2867.0
KILLIEKRANKIE,2449.0
GIRRALONG,2449.0
ELLERSTON,2337.0
OMADALE,2337.0
ARNDELL PARK,2148.0
KOTARA SOUTH,2289.0
RUGBY,2583.0
TANJA,2550.0
PATONGA,2256.0
UMINA BEACH,2257.0
COBARK,2422.0
BROUGHAMS GATE,2880.0
FOWLERS GAP,2880.0
MOUNT DRUITT,2770.0
GAROO,2340.0
DARBYS FALLS,2793.0
FORRESTERS BEACH,2260.0
DALEYS POINT,2257.0
SARATOGA,2251.0
BLACKWALL,2256.0
ST HUBERTS ISLAND,2257.0
TULLIBIGEAL,2669.0
MERRIGAL,2827.0
HILLDALE,2420.0
METZ,2350.0
MYALL LAKE,2423.0
SPRINGFIELD,2250.0
HOWARDS GRASS,2480.0
LISMORE HEIGHTS,2480.0
CROWDY BAY,2443.0
WARIALDA RAIL,2402.0
NORTH GOSFORD,2250.0
WYOMING,2250.0
WARIALDA,2402.0
CENTRAL MANGROVE,2250.0
EAST HILLS,2213.0
ROUCHEL,2336.0
GOOD HOPE,2582.0
UPPER MYALL,2423.0
WARRANULLA,2423.0
NARADHAN,2669.0
WOODBINE,2560.0
MARSHALL MOUNT,2530.0
WEE WAA,2388.0
TUNCURRY,2428.0
CROYDON PARK,2133.0
BLACKSMITHS,2281.0
BELMONT SOUTH,2280.0
CURLEWIS,2381.0
BOW BOWING,2566.0
WOODPARK,2164.0
LEADVILLE,2844.0
WAITUI,2443.0
FORSTER,2428.0
HERMIDALE,2831.0
GIRILAMBONE,2831.0
VALERY,2454.0
RUSSELL VALE,2517.0
ROSEMEADOW,2560.0
ST HELENS PARK,2560.0
AMBARVALE,2560.0
WARROO,2871.0
KINGFISHER SHORES,2259.0
MOUNT COLLINS,2794.0
BOWMAN,2422.0
BOWMAN FARM,2422.0
CURROWAN,2536.0
NELLIGEN,2536.0
HAMMONDVILLE,2170.0
CARRS PENINSULA,2460.0
WINDSOR DOWNS,2756.0
EATONSVILLE,2460.0
PROVIDENCE PORTAL,2629.0
FAILFORD,2430.0
CABRAMATTA WEST,2166.0
CASINO,2470.0
POTTS POINT,2011.0
YORKLEA,2470.0
MELINGA,2430.0
BURRELL CREEK,2429.0
HILLVILLE,2430.0
LINDFIELD,2070.0
ROSEVILLE,2069.0
SOUTH PAMBULA,2549.0
VILLAWOOD,2163.0
LEUMEAH,2560.0
CARRAMAR,2163.0
OLD GUILDFORD,2161.0
TELARAH,2320.0
BIALA,2581.0
GRABBEN GULLEN,2583.0
EUMUNGERIE,2822.0
BOOTI BOOTI,2428.0
TIONA,2428.0
BOXERS CREEK,2580.0
LANSVALE,2166.0
NORTH TURRAMURRA,2074.0
ST IVES CHASE,2075.0
CORINELLA,2871.0
BELMORE,2192.0
CANLEY HEIGHTS,2166.0
LISAROW,2250.0
BRONTE,2024.0
MCGRATHS HILL,2756.0
MALLOWA,2400.0
BOOLAMBAYTE,2423.0
ROOKWOOD,2141.0
FAULCONBRIDGE,2776.0
SUN VALLEY,2777.0
GOONOO FOREST,2830.0
CAMBERWELL,2330.0
QUIALIGO,2580.0
BUREEN,2328.0
GUNNINGRAH,2632.0
PALARANG,2632.0
VALLEY HEIGHTS,2777.0
HOLTS FLAT,2631.0
GLEN ALLEN,2631.0
BAKERS CREEK,2359.0
DOYLES CREEK,2330.0
APPLETREE FLAT,2330.0
BURRIER,2540.0
POONCARIE,2648.0
WOLLI CREEK,2205.0
SPICKETTS CREEK,2454.0
BLAXLAND,2774.0
WARRIMOO,2774.0
COW FLAT,2795.0
GEORGES PLAINS,2795.0
SUFFOLK PARK,2481.0
BROKEN HEAD,2481.0
BERRY JERRY,2701.0
HASSANS WALLS,2790.0
CHARLOTTE PASS,2624.0
NGARIGO,2627.0
JINCUMBILLY,2631.0
BLACK CREEK,2439.0
MANDEMAR,2575.0
DEEP CREEK,2440.0
TEMAGOG,2440.0
MUNGAY CREEK,2440.0
CURRA CREEK,2820.0
SUNTOP,2820.0
BALD HILLS,2549.0
BALDERSLEIGH,2365.0
STRATHEDEN,2470.0
EDROM,2551.0
HARPARARY,2390.0
PARKLEA,2768.0
VALLA,2448.0
ST JOHNS PARK,2176.0
MORISSET,2264.0
CHULLORA,2190.0
PINBEYAN,2720.0
YARRANGOBILLY,2720.0
LIBERTY GROVE,2138.0
TAMINDA,2340.0
WEEDALLION,2594.0
CORINDI BEACH,2456.0
FAULKLAND,2422.0
MAYS HILL,2145.0
TOORAWEENAH,2817.0
BUCKENDOON,2472.0
WARREN,2824.0
OXLEY VALE,2340.0
WESTDALE,2340.0
YARROW,2620.0
CANTON BEACH,2263.0
UPPER DARTBROOK,2336.0
DAIRY FLAT,2474.0
LINDESAY CREEK,2476.0
MUMBIL,2820.0
BAKERS SWAMP,2820.0
GRADYS CREEK,2474.0
FINDON CREEK,2474.0
SAWPIT CREEK,2474.0
COUGAL,2474.0
BORDER RANGES,2474.0
ROSELANDS,2196.0
YANCO,2703.0
PARA,2648.0
WARRI,2622.0
KINGSVALE,2587.0
MACQUARIE PARK,2113.0
LOGANS CROSSING,2439.0
FALCONER,2365.0
KENDALL,2439.0
HALLS CREEK,2346.0
KINDEE,2446.0
YARRAS,2446.0
ELLENBOROUGH,2446.0
MOUNT SEAVIEW,2446.0
BELROSE,2085.0
HOMEBUSH WEST,2140.0
OAKDALE,2570.0
KIACATOO,2877.0
BOAT HARBOUR,2316.0
NEW MEXICO,2346.0
UPPER MANILLA,2346.0
COOMBELL,2470.0
MONGOGARIE,2470.0
FRAZER PARK,2259.0
NORDS WHARF,2281.0
CATHERINE HILL BAY,2281.0
MOONEE,2259.0
WYBUNG,2259.0
LEMINGTON,2330.0
LUCAS HEIGHTS,2234.0
BARDEN RIDGE,2234.0
WOODSREEF,2347.0
NAMOI RIVER,2346.0
MURRUMBURRAH,2587.0
ERSKINE PARK,2759.0
WALLABADAH,2343.0
PINE RIDGE,2343.0
HONEYBUGLE,2825.0
FLINDERS,2529.0
FISHERMANS BAY,2316.0
RAMSGATE,2217.0
LAMBS VALLEY,2335.0
BRUNKERVILLE,2323.0
WARRAH RIDGE,2343.0
GOORANGOOLA,2330.0
CARROWBROOK,2330.0
REGENTVILLE,2745.0
WARRELL CREEK,2447.0
WALLANTHERY,2675.0
NORTH ALBURY,2640.0
ALLAWAH,2218.0
MOLLYAN,2842.0
WATAGAN,2325.0
HAMPDEN HALL,2440.0
TRUNGLEY HALL,2666.0
POLA CREEK,2440.0
MOUNT AUSTIN,2650.0
KOORINGAL,2650.0
ARCADIA,2159.0
EVELEIGH,2015.0
LAKEMBA,2195.0
WILEY PARK,2195.0
HOLROYD,2142.0
CALLAGHAN,2308.0
PIMLICO ISLAND,2478.0
JEWS LAGOON,2397.0
KILLONGBUTTA,2795.0
GOWAN,2795.0
YARRAWONGA PARK,2264.0
CUDMIRRAH,2540.0
BOUDDI,2251.0
BERRARA,2540.0
MAULES CREEK,2382.0
PRETTY BEACH,2539.0
TURONDALE,2795.0
TULLARWALLA,2540.0
WALLABI POINT,2430.0
KIOLOA,2539.0
EDDERTON,2333.0
RHODES,2138.0
POSSUM BRUSH,2430.0
MILA,2632.0
LORDS HILL,2632.0
QUIRINDI,2343.0
QUIPOLLY,2343.0
SWANHAVEN,2540.0
BAWLEY POINT,2539.0
DOBIES BIGHT,2470.0
CHARLEYS FOREST,2622.0
BUDAWANG,2622.0
WOG WOG,2622.0
MONALTRIE,2480.0
SANDON,2463.0
THE SANDON,2463.0
SUSSEX INLET,2540.0
DAIRY ARM,2325.0
KUNDABUNG,2441.0
MARLO MERRICAN,2441.0
PHEASANTS NEST,2574.0
MOPARRABAH,2440.0
DUNDURRABIN,2453.0
TYRINGHAM,2453.0
ROSEDALE,2536.0
TONGARRA,2527.0
NYORA,2646.0
BERRIGAN,2712.0
KEW,2439.0
LAKEWOOD,2443.0
FREEMANS WATERHOLE,2323.0
RYHOPE,2283.0
PRETTY PINE,2710.0
PATCHS BEACH,2478.0
EMPIRE VALE,2478.0
WATTLE RIDGE,2575.0
AWABA,2283.0
PENROSE,2579.0
MARTINSVILLE,2265.0
COORANBONG,2265.0
WAMBAN,2537.0
BODALLA,2545.0
PADDYS RIVER,2577.0
LAGOON GRASS,2480.0
LILYDALE,2460.0
WINEGROVE,2460.0
NEWBOLD,2460.0
TOMAKIN,2537.0
TUMUT,2720.0
URIARRA,2611.0
YERRINBOOL,2575.0
BARGO,2574.0
BARRATTA,2710.0
BUNDOOK,2422.0
TIRI,2424.0
PALMVALE,2484.0
TERIDGERIE,2829.0
URAWILKIE,2829.0
LAUREL HILL,2649.0
STEWARTS MOUNT,2795.0
LLANARTH,2795.0
LAKESLAND,2572.0
COURIDJAH,2571.0
MURRAH,2546.0
SHARK CREEK,2463.0
AARONS PASS,2850.0
ILFORD,2850.0
COCKWHY,2539.0
DARBALARA,2722.0
ST GEORGE,2622.0
FAR MEADOW,2535.0
EDENSOR PARK,2176.0
GREENFIELD PARK,2176.0
BUANGLA,2540.0
YALWAL,2540.0
WEETALIBA,2395.0
COOLAH,2843.0
GUNDAMULDA,2347.0
ORANGE GROVE,2380.0
KELVIN,2380.0
GILGUNNIA,2877.0
BARRINGUN,2840.0
BROOMAN,2538.0
LAKE HAVEN,2263.0
AUSTRAL,2179.0
CATARACT,2560.0
LECONFIELD,2335.0
CHURCH POINT,2105.0
CUNNINYEUK,2734.0
NOORONG,2732.0
WEDDERBURN,2560.0
MAIMURU,2594.0
GINGKIN,2787.0
CHATHAM VALLEY,2787.0
ROUND MOUNTAIN,2484.0
BELFORD,2335.0
CARDIFF HEIGHTS,2285.0
THE SLOPES,2754.0
WILLMOT,2770.0
ROPES CROSSING,2760.0
MOUNT RIVERVIEW,2774.0
DURRAS NORTH,2536.0
SOUTH DURRAS,2536.0
KURRAJONG HEIGHTS,2758.0
PELTON,2325.0
EAST BRANXTON,2335.0
GREEN CAPE,2551.0
BENDOURA,2622.0
GABLES,2765.0
BOBADAH,2877.0
EREMERANG,2877.0
CONIMBIA,2829.0
HUNTINGWOOD,2148.0
BEWONG,2540.0
WANDANDIAN,2540.0
BASIN VIEW,2540.0
KANDOS,2848.0
CHARBON,2848.0
ALLANDALE,2320.0
NORTH PARRAMATTA,2151.0
BOTOBOLAR,2850.0
HAYES GAP,2850.0
SPRINGDALE,2666.0
GROGAN,2666.0
WIRRAGULLA,2420.0
WALLAROBBA,2420.0
PARMA,2540.0
ASHTONFIELD,2323.0
KOTARA,2289.0
NELSON,2765.0
NEWNES,2790.0
WOODSIDE,2372.0
WRIGHTS BEACH,2540.0
LOWER DYRAABA,2470.0
WOODVIEW,2470.0
EUBERTA,2650.0
CRUDINE,2795.0
TWELVE MILE PEG,2540.0
PORT MACQUARIE,2444.0
BIMBIMBIE,2536.0
LARNOOK,2480.0
GEORGICA,2480.0
HAMPTON,2790.0
ST ALBANS,2775.0
DANGARSLEIGH,2350.0
UPPER MACDONALD,2775.0
KELLYS PLAINS,2350.0
SAUMAREZ,2350.0
SCOTIA,2648.0
ANABRANCH NORTH,2648.0
BEECROFT PENINSULA,2540.0
NUBBA,2587.0
CURRARONG,2540.0
BEGGAN BEGGAN,2587.0
THE JUNCTION,2291.0
CARRINGTON,2324.0
NERICON,2680.0
EGLINTON,2795.0
NORTH ST MARYS,2760.0
TUNCESTER,2480.0
SOUTH LISMORE,2480.0
MANDALONG,2264.0
WERRINGTON,2747.0
NORTH ARM COVE,2324.0
MANGOOLA,2328.0
DENMAN,2328.0
CALLALA BEACH,2540.0
GIRVAN,2425.0
QUEANBEYAN EAST,2620.0
THE RIDGEWAY,2620.0
KINGHORNE,2540.0
SOUTH GOLDEN BEACH,2483.0
TERRY HIE HIE,2400.0
TIMBUMBURI,2340.0
THE BRANCH,2425.0
WELBY,2575.0
TURRELLA,2205.0
YAVEN CREEK,2729.0
MOUNT VERNON,2178.0
BATLOW,2730.0
KUNAMA,2730.0
CALDERWOOD,2527.0
WESTLEIGH,2120.0
NIRIMBA FIELDS,2763.0
LARRAS LEE,2866.0
MARCHMONT,2582.0
EENAWEENA,2824.0
SCHOFIELDS,2762.0
HAMILTON,2303.0
HAMILTON EAST,2303.0
HILL TOP,2575.0
LADYSMITH,2652.0
ALFREDTOWN,2650.0
TERRABELLA,2818.0
BENOLONG,2818.0
BURRA,2653.0
PADDYS RIVER,2653.0
MARAGLE,2653.0
FERN BAY,2295.0
CREMORNE,2090.0
VITTORIA,2799.0
JAMISONTOWN,2750.0
STANMORE,2048.0
NARRAN LAKE,2839.0
OXFORD FALLS,2100.0
ISLINGTON,2296.0
MARYVILLE,2293.0
NUMBUGGA,2550.0
QUEANBEYAN WEST,2620.0
WELLINGTON VALE,2371.0
BOYDTOWN,2551.0
WATERLOO,2017.0
SHADFORTH,2800.0
COOMA,2630.0
DAIRYMANS PLAINS,2630.0
JERANGLE,2630.0
MYOLA,2540.0
SOMERTON,2340.0
COPE,2852.0
HEATHCOTE,2233.0
BELLIMBOPINNI,2440.0
COLLAROY,2097.0
STUBBO,2852.0
COLLAROY PLATEAU,2097.0
DOLLS POINT,2219.0
SANDRINGHAM,2219.0
WERAI,2577.0
MANCHESTER SQUARE,2577.0
BANNISTER,2580.0
PAXTON,2325.0
WADEVILLE,2474.0
KILLINGWORTH,2278.0
MOUNT OLIVE,2787.0
THE MEADOWS,2787.0
AKOLELE,2546.0
TILBA TILBA,2546.0
TARRAWANNA,2518.0
MANILDRA,2865.0
BERRINGER LAKE,2539.0
CUNJURONG POINT,2539.0
BENDALONG,2539.0
MANYANA,2539.0
MONDAYONG,2540.0
CAMPVALE,2318.0
FRENCHS FOREST,2086.0
BLAIR ATHOL,2560.0
GERROA,2534.0
CLARE,2711.0
BIRGANBIGIL,2710.0
BLAND,2721.0
WOOMARGAMA,2644.0
MOUNTAIN CREEK,2644.0
MULLENGANDRA,2644.0
EMU HEIGHTS,2750.0
UPPER ALLYN,2311.0
ECCLESTON,2311.0
HALTON,2311.0
CELLS RIVER,2424.0
ENMORE,2042.0
SANDY CROSSING,2460.0
BREAM BEACH,2540.0
KNORRIT FLAT,2424.0
CRACKENBACK,2627.0
HUNGERFORD,2840.0
WANAARING,2840.0
BROOKVALE,2100.0
LANE COVE,2066.0
CULLERIN,2581.0
LERIDA,2581.0
COPPERHANNIA,2795.0
NORTH CURL CURL,2099.0
DEE WHY,2099.0
SODWALLS,2790.0
PINNY BEACH,2281.0
LOCKSLEY,2795.0
BLAXLANDS CREEK,2460.0
NYMBOIDA,2460.0
KARUAH,2324.0
KOGARAH,2217.0
WOMBAT,2587.0
MATONG,2652.0
HAMLYN TERRACE,2259.0
TERREY HILLS,2084.0
DUFFYS FOREST,2084.0
TANILBA BAY,2319.0
TRENTHAM CLIFFS,2738.0
THE HATCH,2444.0
HARTYS PLAINS,2446.0
BAGO,2446.0
HUNTINGDON,2446.0
ROSEWOOD,2446.0
MOSSY POINT,2537.0
MORISSET PARK,2264.0
BONNELLS BAY,2264.0
CORLETTE,2315.0
BEECHWOOD,2446.0
FARRANTS HILL,2484.0
NUNDERI,2484.0
VERONA,2550.0
SANCTUARY POINT,2540.0
ST GEORGES BASIN,2540.0
MOONEBA,2440.0
MANLY VALE,2093.0
POINT WOLSTONCROFT,2259.0
MULLALEY,2379.0
TAMBAR SPRINGS,2381.0
SEAHAMPTON,2286.0
GREEN HILLS,2730.0
WILLIGOBUNG,2653.0
PEEL,2795.0
DANDRY,2357.0
ROCKY GLEN,2357.0
COONABARABRAN,2357.0
MANGERTON,2500.0
EAST LYNNE,2536.0
LANITZA,2460.0
TINTINHULL,2352.0
POINTER MOUNTAIN,2539.0
YADBORO,2539.0
ENDRICK,2622.0
PORTERS CREEK,2538.0
CONJOLA,2539.0
VERGES CREEK,2440.0
BELMORE RIVER,2440.0
STUD PARK,2710.0
WANDOOK,2710.0
SASSAFRAS,2622.0
COOLUMBURRA,2622.0
QUEENSCLIFF,2096.0
MERYLA,2577.0
PEAK VIEW,2630.0
BADJA,2630.0
WILLBRIGGIE,2680.0
BENEREMBAH,2680.0
GOWRIE,2340.0
DURI,2344.0
BLACKMANS POINT,2444.0
RAWDON ISLAND,2446.0
PEMBROOKE,2446.0
CLAREVILLE,2107.0
MYALL CREEK,2403.0
COPETON,2360.0
JEREMADRA,2536.0
GRANTHAM FARM,2765.0
COOPERS GULLY,2550.0
SHALVEY,2770.0
COLEBEE,2761.0
JORDAN SPRINGS,2747.0
TOONGI,2830.0
WAMBANGALANG,2830.0
NIANGALA,2354.0
BERAMBING,2758.0
WETUPPA,2734.0
NORWEST,2153.0
SOUTH PENRITH,2750.0
FINGAL BAY,2315.0
SHOAL BAY,2315.0
ONE MILE,2316.0
REVESBY HEIGHTS,2212.0
PURLEWAUGH,2357.0
WOKO,2422.0
CLIFTON GROVE,2800.0
GREEN PIGEON,2474.0
POTTS HILL,2143.0
WOONONA,2517.0
BRUNSWICK HEADS,2483.0
BULLI,2516.0
AVON,2574.0
ERSKINEVILLE,2043.0
HERONS CREEK,2439.0
PYMBLE,2073.0
